Filename	Vowel	Begin Time (s)	End Time (s)	Duration (ms)	IntMin	IntMinTime	IntMax	IntMaxTime	IntMean	F0 25%	F0 50%	F0 75%	F1 25%	F1 50%	F1 75%	F2 25%	F2 50%	F2 75%	F3 25%	F3 50%	F3 75%	Analyst	Date	Settings	Praat Version	OS
1430_sentences	12112	57.01303680521692	57.21010629758577	197.06949236884697	77.71058847179178	57.13358067405963	80.60520621698161	57.06421768707486	78.7547728455527	182.53099655569687	174.79315338108412	172.939688379135	496.32720072868887	469.4803655717374	451.33550938590287	1037.5831083998503	812.712747345686	880.7309989931468	3260.912581642968	3251.917962771995	3182.538212803762	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	22203	59.47910545638969	59.59897232912466	119.8668727349741	79.85719224555415	59.56421768707486	80.65286372701698	59.51374329694881	80.30470278700783	183.08521011839838	177.18979381451524	174.129286376401	518.3635509683127	498.9885474593069	466.51321317827313	1166.5177375542826	1181.6602894767943	1397.2584477083335	3437.6982861860724	3503.654079053395	3298.6089877994264	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12216	61.549168703404696	61.710684171349826	161.5154679451294	80.22979163731912	61.66421768707486	81.70255007564931	61.62771479951011	81.16840547177844	181.39875050202022	177.6552716815625	174.15297728237	531.3841081022133	514.889237948932	537.7360365908797	836.9521662881219	1025.1277566053936	1194.78463922002	3301.6168760432333	3156.7032041716616	3279.17350389701	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12115	63.7879498562579	63.811417336139534	23.467479881631448	72.64726808975938	63.794217687074855	73.24689447836707	63.802235672597156	72.93982372564258	168.8354963925434	169.12593229054428	168.8170092684008	2013.6382212543263	2451.042832415461	1084.4815507611545	2803.4005390545544	2931.9082082752757	2650.9520874029486	3998.2706661925563	4201.090120958881	4072.388637472239	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	11116	65.87100610316418	65.89944902847769	28.442925313513	77.29422273922277	65.88421768707485	77.29520775807732	65.8844729121521	76.75354544278433	201.4722275079303	197.06539767193297	193.92806500838847	507.68365628199626	308.2292401704585	308.77051779031143	2442.7226324506587	2368.125482697999	2358.5464989191482	3400.2628723806106	3333.003870581804	3381.089404227937	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	21101	67.79034543067498	67.90970413081867	119.35870014369243	82.61679666864829	67.82421768707485	83.74245350448712	67.85454354371211	83.32168756354112	182.93837849014903	180.23358676231132	178.28159063528628	451.48263217757705	506.3321163510049	504.7238558727749	1550.9923824335422	1263.4421544182792	1133.5571417074138	3278.547878034658	3309.1817396218567	3299.367290013173	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	22109	70.58600168456628	70.68028870468521	94.28702011892653	81.44673159678072	70.65421768707485	81.85920073985672	70.63033637484672	81.67568238893026	185.46557023812372	183.46561501811095	181.40178970866089	490.985650804706	528.7198776510022	505.0491065888248	1290.6060673038264	1406.455823178126	1563.4131076538845	3058.2463132908238	3141.963526027756	3174.0675486312516	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	11107	73.07225098452903	73.12532748422927	53.07649970023931	78.5728035804705	73.10421768707485	78.97845383608961	73.09269500842846	78.60948059849417	194.67267705165227	187.23187857552472	183.27063854110025	393.27262152481535	437.4520056798788	441.62466184740265	2154.8937341375804	2125.5600489530266	2081.458914714527	3059.6097304166738	2999.913565192851	2913.5715327278	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	22104	77.23967139776279	77.3747751762714	135.10377850860777	80.09296931577131	77.27421768707485	81.78905378946807	77.33421768707485	80.8311867139019	179.7278853731475	180.71991482617076	182.34249677669217	403.17527328251964	404.6620676020568	394.9068092023966	873.7533252734659	837.7007318805679	1123.2066877029017	3436.5317264183705	3378.717308246094	3378.2284546803726	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12204	79.61173836985257	79.68056001164048	68.82164178790617	81.39219478775368	79.63421768707485	81.7357541008637	79.64708413008958	81.47571401266808	185.87676542564589	181.69218924038248	177.3177455794299	499.08760649197905	510.9339399907108	490.2599659727431	1962.0476096892462	1963.722657893915	1888.4347993844112	3048.7665997810414	3081.77399344971	3007.1668180668903	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
